"Image id","Path","Extension","Height","Width","Type of Replica","Replica param 1","Replica param 2","Replica of"
"0","src/785.jpg","jpg","600.0","600.0",,,,
"1","rep/785_rotate_30.0.jpg","jpg","600.0","600.0","Rotated","30.0",,"0"
"2","rep/785_rotate_90.0.jpg","jpg","600.0","600.0","Rotated","90.0",,"0"
"3","rep/785_rotate_180.0.jpg","jpg","600.0","600.0","Rotated","180.0",,"0"
"4","rep/785_rotate_270.0.jpg","jpg","600.0","600.0","Rotated","270.0",,"0"
"5","rep/785_cropped_h_0.25.jpg","jpg","600.0","450.0","Cropped_H","0.25",,"0"
"6","rep/785_cropped_h_0.5.jpg","jpg","600.0","300.0","Cropped_H","0.5",,"0"
"7","rep/785_cropped_v_0.25.jpg","jpg","450.0","600.0","Cropped_V","0.25",,"0"
"8","rep/785_cropped_v_0.5.jpg","jpg","300.0","600.0","Cropped_V","0.5",,"0"
"9","rep/785_comp_0.1.jpg","jpg","600.0","600.0","Compressed","0.1",,"0"
"10","rep/785_comp_0.3.jpg","jpg","600.0","600.0","Compressed","0.3",,"0"
"11","rep/785_comp_0.5.jpg","jpg","600.0","600.0","Compressed","0.5",,"0"
"12","rep/785_comp_0.7.jpg","jpg","600.0","600.0","Compressed","0.7",,"0"
"13","rep/785_comp__mean_0.0_stdev_0.1.jpg","jpg","600.0","600.0","Gaussian","0.0","0.1","0"
"14","rep/785_comp__mean_0.0_stdev_0.25.jpg","jpg","600.0","600.0","Gaussian","0.0","0.25","0"
"15","rep/785_resize_0.5.jpg","jpg","300.0","300.0","Resized","0.5",,"0"
"16","rep/785_resize_0.8.jpg","jpg","480.0","480.0","Resized","0.8",,"0"
"17","rep/785_resize_1.2.jpg","jpg","720.0","720.0","Resized","1.2",,"0"
"18","rep/785_resize_1.5.jpg","jpg","900.0","900.0","Resized","1.5",,"0"
"19","rep/785_smoothed_kernel_2.jpg","jpg","600.0","600.0","Smoothed","2",,"0"
"20","rep/785_smoothed_kernel_3.jpg","jpg","600.0","600.0","Smoothed","3",,"0"
"21","rep/785_gamma_0.25.jpg","jpg","600.0","600.0","Gamma","0.25",,"0"
"22","rep/785_gamma_0.6.jpg","jpg","600.0","600.0","Gamma","0.6",,"0"
"23","rep/785_gamma_1.5.jpg","jpg","600.0","600.0","Gamma","1.5",,"0"
"24","rep/785_gamma_1.8.jpg","jpg","600.0","600.0","Gamma","1.8",,"0"
"25","rep/785channel_s_0.1.jpg","jpg","600.0","600.0","ChannelS","0.1",,"0"
"26","rep/785channel_s_-0.1.jpg","jpg","600.0","600.0","ChannelS","-0.1",,"0"
"27","rep/785channel_v_-0.1.jpg","jpg","600.0","600.0","ChannelV","-0.1",,"0"
"28","rep/785channel_v_0.1.jpg","jpg","600.0","600.0","ChannelV","0.1",,"0"
"29","rep/785_h_flipped.jpg","jpg","600.0","600.0","HFlipped",,,"0"
"30","rep/785_text_15.jpg","jpg","600.0","600.0","Text","15",,"0"
"31","rep/785_occlusion__radius_3_size_0.1.jpg","jpg","600.0","600.0","Occluded","3","0.1","0"
"32","rep/785_occlusion__radius_2_size_0.15.jpg","jpg","600.0","600.0","Occluded","2","0.15","0"
"33","src/1091.jpg","jpg","399.0","600.0",,,,
"34","rep/1091_rotate_30.0.jpg","jpg","399.0","600.0","Rotated","30.0",,"33"
"35","rep/1091_rotate_90.0.jpg","jpg","399.0","600.0","Rotated","90.0",,"33"
"36","rep/1091_rotate_180.0.jpg","jpg","399.0","600.0","Rotated","180.0",,"33"
"37","rep/1091_rotate_270.0.jpg","jpg","399.0","600.0","Rotated","270.0",,"33"
"38","rep/1091_cropped_h_0.25.jpg","jpg","399.0","450.0","Cropped_H","0.25",,"33"
"39","rep/1091_cropped_h_0.5.jpg","jpg","399.0","300.0","Cropped_H","0.5",,"33"
"40","rep/1091_cropped_v_0.25.jpg","jpg","299.0","600.0","Cropped_V","0.25",,"33"
"41","rep/1091_cropped_v_0.5.jpg","jpg","199.0","600.0","Cropped_V","0.5",,"33"
"42","rep/1091_comp_0.1.jpg","jpg","399.0","600.0","Compressed","0.1",,"33"
"43","rep/1091_comp_0.3.jpg","jpg","399.0","600.0","Compressed","0.3",,"33"
"44","rep/1091_comp_0.5.jpg","jpg","399.0","600.0","Compressed","0.5",,"33"
"45","rep/1091_comp_0.7.jpg","jpg","399.0","600.0","Compressed","0.7",,"33"
"46","rep/1091_comp__mean_0.0_stdev_0.1.jpg","jpg","399.0","600.0","Gaussian","0.0","0.1","33"
"47","rep/1091_comp__mean_0.0_stdev_0.25.jpg","jpg","399.0","600.0","Gaussian","0.0","0.25","33"
"48","rep/1091_resize_0.5.jpg","jpg","199.0","300.0","Resized","0.5",,"33"
"49","rep/1091_resize_0.8.jpg","jpg","319.0","480.0","Resized","0.8",,"33"
"50","rep/1091_resize_1.2.jpg","jpg","478.0","720.0","Resized","1.2",,"33"
"51","rep/1091_resize_1.5.jpg","jpg","598.0","900.0","Resized","1.5",,"33"
"52","rep/1091_smoothed_kernel_2.jpg","jpg","399.0","600.0","Smoothed","2",,"33"
"53","rep/1091_smoothed_kernel_3.jpg","jpg","399.0","600.0","Smoothed","3",,"33"
"54","rep/1091_gamma_0.25.jpg","jpg","399.0","600.0","Gamma","0.25",,"33"
"55","rep/1091_gamma_0.6.jpg","jpg","399.0","600.0","Gamma","0.6",,"33"
"56","rep/1091_gamma_1.5.jpg","jpg","399.0","600.0","Gamma","1.5",,"33"
"57","rep/1091_gamma_1.8.jpg","jpg","399.0","600.0","Gamma","1.8",,"33"
"58","rep/1091channel_s_0.1.jpg","jpg","399.0","600.0","ChannelS","0.1",,"33"
"59","rep/1091channel_s_-0.1.jpg","jpg","399.0","600.0","ChannelS","-0.1",,"33"
"60","rep/1091channel_v_-0.1.jpg","jpg","399.0","600.0","ChannelV","-0.1",,"33"
"61","rep/1091channel_v_0.1.jpg","jpg","399.0","600.0","ChannelV","0.1",,"33"
"62","rep/1091_h_flipped.jpg","jpg","399.0","600.0","HFlipped",,,"33"
"63","rep/1091_text_15.jpg","jpg","399.0","600.0","Text","15",,"33"
"64","rep/1091_occlusion__radius_3_size_0.1.jpg","jpg","399.0","600.0","Occluded","3","0.1","33"
"65","rep/1091_occlusion__radius_2_size_0.15.jpg","jpg","399.0","600.0","Occluded","2","0.15","33"
"66","src/94.jpg","jpg","359.0","599.0",,,,
"67","rep/94_rotate_30.0.jpg","jpg","359.0","599.0","Rotated","30.0",,"66"
"68","rep/94_rotate_90.0.jpg","jpg","359.0","599.0","Rotated","90.0",,"66"
"69","rep/94_rotate_180.0.jpg","jpg","359.0","599.0","Rotated","180.0",,"66"
"70","rep/94_rotate_270.0.jpg","jpg","359.0","599.0","Rotated","270.0",,"66"
"71","rep/94_cropped_h_0.25.jpg","jpg","359.0","449.0","Cropped_H","0.25",,"66"
"72","rep/94_cropped_h_0.5.jpg","jpg","359.0","299.0","Cropped_H","0.5",,"66"
"73","rep/94_cropped_v_0.25.jpg","jpg","269.0","599.0","Cropped_V","0.25",,"66"
"74","rep/94_cropped_v_0.5.jpg","jpg","179.0","599.0","Cropped_V","0.5",,"66"
"75","rep/94_comp_0.1.jpg","jpg","359.0","599.0","Compressed","0.1",,"66"
"76","rep/94_comp_0.3.jpg","jpg","359.0","599.0","Compressed","0.3",,"66"
"77","rep/94_comp_0.5.jpg","jpg","359.0","599.0","Compressed","0.5",,"66"
"78","rep/94_comp_0.7.jpg","jpg","359.0","599.0","Compressed","0.7",,"66"
"79","rep/94_comp__mean_0.0_stdev_0.1.jpg","jpg","359.0","599.0","Gaussian","0.0","0.1","66"
"80","rep/94_comp__mean_0.0_stdev_0.25.jpg","jpg","359.0","599.0","Gaussian","0.0","0.25","66"
"81","rep/94_resize_0.5.jpg","jpg","179.0","299.0","Resized","0.5",,"66"
"82","rep/94_resize_0.8.jpg","jpg","287.0","479.0","Resized","0.8",,"66"
"83","rep/94_resize_1.2.jpg","jpg","430.0","718.0","Resized","1.2",,"66"
"84","rep/94_resize_1.5.jpg","jpg","538.0","898.0","Resized","1.5",,"66"
"85","rep/94_smoothed_kernel_2.jpg","jpg","359.0","599.0","Smoothed","2",,"66"
"86","rep/94_smoothed_kernel_3.jpg","jpg","359.0","599.0","Smoothed","3",,"66"
"87","rep/94_gamma_0.25.jpg","jpg","359.0","599.0","Gamma","0.25",,"66"
"88","rep/94_gamma_0.6.jpg","jpg","359.0","599.0","Gamma","0.6",,"66"
"89","rep/94_gamma_1.5.jpg","jpg","359.0","599.0","Gamma","1.5",,"66"
"90","rep/94_gamma_1.8.jpg","jpg","359.0","599.0","Gamma","1.8",,"66"
